,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
0,0.30054151624548736,0.322202166064982,0.2292418772563177,0.11462093862815885,0.02256317689530686,0.010830324909747292,B2,0d,0.002271006813020439,1321,1108,1
9,0.42338709677419356,0.2620967741935484,0.18548387096774194,0.10080645161290322,0.020161290322580645,0.008064516129032258,B3,0d,0.012861736334405145,311,248,1
17,0.45692883895131087,0.31835205992509363,0.14232209737827714,0.06367041198501873,0.011235955056179775,0.00749063670411985,L2.5,0d,0.0030864197530864196,324,267,1
27,0.6196078431372549,0.2235294117647059,0.09803921568627451,0.03529411764705882,0.01568627450980392,0.00784313725490196,L2.8,0d,0.010033444816053512,299,255,1
32,0.30357142857142855,0.29464285714285715,0.16964285714285715,0.16071428571428573,0.03571428571428571,0.03571428571428571,P2.3,0d,0.029197080291970802,137,112,1
41,0.0,0.0,0.0,0.0,0.0,0.0,P2.4,0d,0.0,0,0,1
49,0.26605504587155965,0.29357798165137616,0.23547400611620795,0.12232415902140673,0.06422018348623854,0.01834862385321101,S2,0d,0.004914004914004914,407,327,1
58,0.3263707571801567,0.34986945169712796,0.18276762402088773,0.0835509138381201,0.04699738903394256,0.010443864229765013,S3,0d,0.011210762331838564,446,383,1
67,0.383601756954612,0.30307467057101023,0.19912152269399708,0.07906295754026355,0.02635431918008785,0.008784773060029283,W1.1,0d,0.004807692307692308,832,683,1
74,0.5913978494623656,0.1881720430107527,0.15591397849462366,0.03763440860215054,0.016129032258064516,0.010752688172043012,W1.4,0d,0.004830917874396135,207,186,1
81,0.23105360443622922,0.2957486136783734,0.27171903881700554,0.12199630314232902,0.06284658040665435,0.0166358595194085,W2.6,0d,0.008733624454148471,687,541,1
