clone,Unnamed: 0,1,2,3,4,5,6,day,donutFrac,n,nNotDonut,replicate,SE,confL,confR,p
B2,0,0.300541516,0.322202166,0.22924187699999998,0.114620939,0.022563177,0.010830325,0d,0.011355035,1321,1108,1,0.02540853787475731,0.5572956255818681,0.6881917384181321,0.0
B3,9,0.42338709700000005,0.262096774,0.18548387100000002,0.10080645199999999,0.02016129,0.008064515999999999,0d,0.05855856,311,248,1,0.036095666592212486,0.592507595260648,0.7784601467393519,0.0037
L2.5,16,0.456928839,0.31835206,0.14232209699999998,0.063670412,0.011235955,0.007490637,0d,0.03658537,324,267,1,0.032955583327821,0.6903929417486511,0.8601688562513489,0.6932
L2.8,26,0.6196078429999999,0.22352941199999998,0.098039216,0.035294118,0.015686275,0.007843137,0d,0.06060606,299,255,1,0.030857960462865208,0.7636524161919983,0.9226220938080015,0.083
P2.3,31,0.303571429,0.294642857,0.16964285699999998,0.16071428599999998,0.035714286,0.035714286,0d,0.15217391,137,112,1,0.050789535909606914,0.4673891110903853,0.7290394609096146,0.0
P2.4,40,0.39722864,0.32101617,0.19861432,0.05773672,0.02078522,0.00461894,0d,0.09515571,578,433,1,0.03001541064088012,0.6409302357131675,0.7955593842868326,0.0208
S2,48,0.266055046,0.293577982,0.235474006,0.122324159,0.064220183,0.018348623999999997,0d,0.08839779,407,327,1,0.034455922388212296,0.4708804534316362,0.6483856025683639,0.0
S3,57,0.326370757,0.349869452,0.182767624,0.083550914,0.046997389,0.010443864,0d,0.07535121,446,383,1,0.03170493374653458,0.5945737115885998,0.7579067064114002,0.0005
UI,65,0.55686275,0.23137255,0.13856209,0.05620915,0.01699346,0.0,0d,0.07000548,928,385,1,,,,
W1.1,72,0.38360175700000004,0.303074671,0.199121523,0.079062958,0.026354318999999998,0.008784773000000001,0d,0.05710491,832,683,1,0.027360000551660563,0.6162017368339187,0.7571511191660815,0.0004
W1.4,79,0.591397849,0.188172043,0.155913978,0.037634409,0.016129031999999998,0.010752688,0d,0.06802721,207,186,1,0.03684337268288511,0.6846676530018515,0.8744721309981486,0.8131
W2.6,86,0.231053604,0.29574861399999997,0.271719039,0.12199630300000001,0.06284658,0.01663586,0d,0.13671875,687,541,1,0.029905499240831603,0.4497707567182065,0.6038336792817933,0.0
