,Cell,Nucleus,Area Fraction,Circularity,Convexity
0,ROI_16,1,0.372,0.31,0.733
1,ROI_24,1,0.483,0.366,0.732
2,ROI_68,1,0.465,0.288,0.658
3,ROI_68,2,0.026,0.666,1.0
4,ROI_103,1,0.474,0.212,0.641
5,ROI_106,1,0.672,0.551,0.878
6,ROI_107,1,0.312,0.371,0.686
7,ROI_127,1,0.381,0.663,0.875
8,ROI_130,1,0.401,0.396,0.754
9,ROI_168,1,0.38,0.396,0.779
10,ROI_254,1,0.391,0.231,0.689
11,ROI_254,2,0.036,0.763,0.93
12,ROI_254,3,0.008,0.943,1.0
13,ROI_256,1,0.543,0.742,0.933
14,ROI_284,1,0.376,0.482,0.756
15,ROI_313,1,0.371,0.398,0.802
16,ROI_322,1,0.344,0.566,0.876
17,ROI_322,2,0.01,0.871,1.0
18,ROI_331,1,0.444,0.244,0.66
19,ROI_331,2,0.018,0.871,1.0
20,ROI_342,1,0.456,0.353,0.774
21,ROI_342,2,0.015,0.943,1.0
22,ROI_404,1,0.298,0.366,0.69
23,ROI_404,2,0.033,0.809,0.923
24,ROI_404,3,0.007,0.806,1.0
25,ROI_428,1,0.452,0.463,0.852
26,ROI_428,2,0.006,0.857,1.0
27,ROI_431,1,0.187,0.337,0.707
28,ROI_431,2,0.144,0.249,0.568
29,ROI_473,1,0.622,0.367,0.794
30,ROI_481,1,0.399,0.399,0.734
31,ROI_487,1,0.547,0.319,0.754
32,ROI_487,2,0.018,0.755,0.923
33,ROI_487,3,0.009,0.726,0.947
34,ROI_494,1,0.52,0.654,0.893
35,ROI_510,1,0.476,0.389,0.779
36,ROI_532,1,0.261,0.219,0.669
37,ROI_543,1,0.584,0.482,0.828
38,ROI_562,1,0.467,0.241,0.749
39,ROI_583,1,0.412,0.355,0.775
40,ROI_635,1,0.521,0.589,0.875
41,ROI_648,1,0.314,0.306,0.686
42,ROI_648,2,0.016,0.846,0.958
43,ROI_656,1,0.613,0.497,0.852
44,ROI_658,1,0.275,0.198,0.602
45,ROI_658,2,0.005,0.857,1.0
46,ROI_667,1,0.612,0.643,0.908
47,ROI_830,1,0.649,0.716,0.912
48,ROI_845,1,0.49,0.378,0.822
49,ROI_872,1,0.699,0.756,0.928
